Unnamed: 0,Company,Date,Tahun_Buku,Link,folder_path,category
44,ARMY,29 Juni 2021 | 09:46,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARMY/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARMY\2020,Property
45,ARNA,08 Februari 2021 | 11:46,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARNA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARNA\2020,General
46,ARTA,27 Mei 2021 | 10:16,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARTA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARTA\2020,General
47,ARTI,09 Juni 2021 | 15:16,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARTI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARTI\2020,General
48,ARTO,12 Maret 2021 | 13:40,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ARTO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ARTO\2020,Financial and Shariah
49,ASBI,31 Maret 2021 | 19:29,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASBI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASBI\2020,Insurance
50,ASDM,15 April 2021 | 12:40,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASDM/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASDM\2020,Insurance
51,ASGR,24 Februari 2021 | 18:10,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASGR/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASGR\2020,General
52,ASII,25 Februari 2021 | 16:11,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASII/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASII\2020,General
53,ASJT,07 Mei 2021 | 18:49,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASJT/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASJT\2020,Insurance
54,ASMI,04 Juni 2021 | 21:15,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASMI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASMI\2020,Insurance
55,ASPI,31 Mei 2021 | 12:04,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASPI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASPI\2020,Property
